phase,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
399,34256,189984,4870656,49
400,33983,187233,4826892,48
401,33699,185045,4784060,48
402,33398,182622,4738248,47
403,33059,180063,4687332,47
404,32760,177620,4641680,46
405,32475,175523,4599092,46
406,32176,173295,4554300,45
407,31887,172031,4514564,45
408,31592,170384,4472576,45
409,31268,168535,4426300,44
410,30966,166860,4383360,44
411,30655,165051,4338804,43
412,30377,162490,4295200,43
413,30065,160386,4249344,42
414,29747,158007,4201668,42
415,29413,155723,4152452,42
416,29073,153304,4101976,41
417,28785,149800,4053400,41
418,28454,146383,4000012,40
419,28120,143175,3947100,40
420,27807,139955,3896660,39
421,27488,137774,3849656,39
422,27176,135034,3801256,38
423,26868,133208,3756992,38
424,26568,131230,3713080,37
425,26225,129098,3663392,37
426,25890,126833,3614132,36
427,25508,124405,3558580,36
428,25188,122030,3510680,35
429,24875,119604,3463416,35
430,24536,117557,3414548,34
431,24184,115396,3363664,34
432,23847,113156,3314264,33
433,23494,111103,3263692,33
434,23174,109099,3217276,32
435,22817,107227,3166948,32
436,22484,105352,3119488,31
437,22151,103481,3072044,31
438,21816,101713,3024772,31
439,21466,99887,2975468,30
440,21131,98314,2928976,30
441,20782,96688,2880592,29
442,20445,95263,2834452,29
443,20085,93681,2784924,28
444,19751,91895,2737700,28
445,19420,90196,2691184,27
446,19039,88468,2638552,27
447,18683,86839,2589316,26
448,18323,85372,2540248,26
449,17991,83813,2494172,25
450,17648,82461,2447604,25
451,17306,81012,2400768,24
452,16946,79745,2352500,24
453,16572,78435,2302380,23
454,16205,77178,2253312,23
455,15868,76022,2208248,23
456,15510,74746,2160184,22
457,15157,73251,2111844,22
458,14796,71578,2061832,21
459,14448,70312,2015008,21
460,14081,68949,1965516,20
461,13742,66444,1914816,20
462,13420,63934,1866136,19
463,13104,61615,1818940,19
464,12754,59607,1768908,18
465,12394,58402,1720888,18
466,12018,56752,1669168,17
467,11669,55027,1620388,17
468,11322,52615,1569100,16
469,10983,50255,1518980,16
470,10649,48189,1470636,15
471,10295,45998,1419392,15
472,9915,43612,1364248,14
473,9573,41626,1315264,14
474,9207,39487,1262788,13
475,8875,37576,1215304,13
476,8508,35640,1163520,12
477,8130,33933,1111332,12
478,7726,32014,1055176,11
479,7333,30297,1001148,11
480,6968,28527,950268,10
481,6609,27089,901436,10
482,6263,25409,853196,9
483,5928,24150,807960,9
484,5502,22552,750448,8
485,5074,21352,694288,8
486,4691,19869,642396,7
487,4352,18696,597024,7
488,3944,17276,542384,6
489,3608,16402,498568,6
490,3210,14904,444816,5
491,2818,13163,390812,5
492,2385,11249,331196,4
493,2056,10086,287064,4
494,1660,8026,231304,3
495,1329,6711,186324,3
496,974,4220,133760,2
497,705,2060,92840,2
