phase,preprocessing nodes removed,preprocessing edges removed,cut-graph nodes,cut-graph edges,cut-graph size,#partitions
240,255,254,37630,123691,5010364,50
241,284,284,37243,120930,4952880,49
242,305,304,36817,118152,4890648,49
243,279,279,36379,115314,4826736,48
244,298,296,35924,112537,4761028,47
245,285,285,35525,109856,4702424,47
246,324,323,35057,107210,4635680,46
247,280,279,34650,104502,4576008,45
248,307,307,34210,101860,4512640,45
249,310,309,33771,99214,4449376,44
250,288,287,33355,96690,4389360,44
251,325,323,32873,94114,4321216,43
252,313,312,32412,91572,4255728,42
253,312,309,31954,89197,4191268,42
254,291,290,31524,86772,4129968,41
255,333,332,31043,84365,4062620,40
256,336,336,30550,81907,3993628,40
257,312,311,30075,79397,3926588,39
258,317,317,29607,77082,3861168,38
259,316,315,29126,74768,3794192,38
260,340,337,28615,72344,3723176,37
261,341,339,28088,69995,3650540,36
262,374,373,27530,67677,3574308,36
263,338,336,27016,65427,3503628,35
264,360,357,26479,63187,3430228,34
265,382,379,25930,61010,3355640,34
266,392,390,25353,58794,3277536,33
267,364,362,24785,56618,3200672,32
268,355,352,24247,54547,3127828,31
269,353,352,23682,52367,3051308,31
270,364,361,23102,50257,2973268,30
271,351,350,22530,48219,2896476,29
272,345,344,21974,46196,2821664,28
273,401,399,21354,44158,2739112,28
274,418,413,20703,42156,2652984,27
275,371,369,20091,40189,2571676,26
276,342,340,19468,38142,2488728,25
277,382,379,18818,36293,2403332,24
278,353,350,18227,34416,2324904,24
279,356,353,17594,32573,2241572,23
280,327,324,16995,30786,2162544,22
281,336,335,16325,28952,2074808,21
282,361,357,15666,27173,1988612,20
283,403,400,14916,25369,1891396,19
284,365,357,14217,23724,1800936,19
285,355,351,13493,22051,1707364,18
286,362,360,12772,20420,1614320,17
287,339,334,12043,18782,1520288,16
288,340,335,11283,17197,1422748,15
289,306,302,10530,15655,1326220,14
290,299,294,9784,14204,1230896,13
291,292,284,9058,12811,1138204,12
292,287,279,8295,11381,1040924,11
293,279,274,7498,9998,939752,10
294,259,248,6698,8654,838376,9
295,257,246,5859,7336,732424,8
296,212,202,5013,6068,625832,7
297,172,159,4167,4890,519600,6
298,155,146,3390,3869,422276,5
299,109,99,2564,2811,318924,4
300,67,59,1934,2066,240344,4
301,41,35,1315,1369,163276,3
302,12,12,657,670,81520,2
